pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,1,1,1,Microlensing,2018,KMTNet,Published Confirmed,0,<a refstr=HWANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018JKAS...51..197H/abstract target=ref>Hwang et al. 2018</a>,,,,,2.2,0.7,-0.7,0,,,,,,,,,5700,6000,-3500,0,18,20,-11,0,Mass,,,,,,,,,,,,,0,<a refstr=HWANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018JKAS...51..197H/abstract target=ref>Hwang et al. 2018</a>,,,,,,,,,,0.48,0.38,-0.26,0,,,,,,,,,,<a refstr=HWANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018JKAS...51..197H/abstract target=ref>Hwang et al. 2018</a>,17h53m45.42s,268.43925,-29d05m12.80s,-29.0868889,6300,1100,-1600,,,,,,,,,,12/5/19,2018-12,9/12/19
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,1,1,1,Microlensing,2023,KMTNet,Published Confirmed,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,2.44,0.88,-0.75,0,,,,,,,,,2.32,7.43,-1.56,0,0.00729954,0.02337739,-0.00490831,0,Mass,,,,,,,,,,,,,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,,,,,,0.41,0.25,-0.21,0,,,,,,,,,,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,17h45m47.34s,266.44725,-26d15m58.93s,-26.2663694,5080,2240,-2180,,,,,,,,,,2/17/23,2023-03,2/17/23
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,1,1,1,Microlensing,2019,KMTNet,Published Confirmed,0,<a refstr=HWANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...23H/abstract target=ref>Hwang et al. 2019</a>,,,,,0.342,0.07,-0.085,0,,,,,,,,,1043,1102,-583,0,3.283,3.468,-1.835,0,Mass,,,,,,,,,,,,,0,<a refstr=HWANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...23H/abstract target=ref>Hwang et al. 2019</a>,,,,,,,,,,0.087,0.092,-0.049,0,,,,,,,,,,<a refstr=HWANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...23H/abstract target=ref>Hwang et al. 2019</a>,17h45m40.26s,266.41775,-26d01m54.48s,-26.0318,6651,948,-1348,,,,,,,,,,12/5/19,2019-01,2/21/19
KMT-2016-BLG-1337L b,KMT-2016-BLG-1337L,1,2,1,Microlensing,2026,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026PASP..138c4401H/abstract target=ref>Han et al. 2026</a>,,,,,3.97,0.6,-0.92,0,,,,,,,,,88.99195396,47.67426105,-50.85254512,0,0.28,0.15,-0.16,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026PASP..138c4401H/abstract target=ref>Han et al. 2026</a>,M,,,,,,,,,0.54,0.3,-0.3,0,,,,,,,,,,<a refstr=HAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026PASP..138c4401H/abstract target=ref>Han et al. 2026</a>,17h56m31.21s,269.1300417,-33d02m03.08s,-33.0341889,6920,1040,-1610,,,,,,,,,,3/19/26,2026-03,3/19/26
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,1,1,1,Microlensing,2018,KMTNet,Published Confirmed,0,<a refstr=ZANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..236Z/abstract target=ref>Zang et al. 2018</a>,,,,,5.1,1.5,-1.7,0,,,,,,,,,2200,1700,-1400,0,7,5.2,-4.3,0,Mass,,,,,,,,,,,,,0,<a refstr=ZANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..236Z/abstract target=ref>Zang et al. 2018</a>,,,,,,,,,,0.45,0.33,-0.28,0,,,,,,,,,,<a refstr=ZANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..236Z/abstract target=ref>Zang et al. 2018</a>,18h10m39.51s,272.664612,-24d51m27.86s,-24.8577385,6600,1100,-1300,,,,,,,,,,12/5/19,2018-11,11/8/18
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,1,1,1,Microlensing,2018,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,,,,,1.08,0.22,-0.22,0,,,,,,,,,1450,1600,-680,0,4.57,5.03,-2.14,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,,,,,,,,,,0.039,0.043,-0.018,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,17h55m03.54s,268.76474,-29d31m00.91s,-29.5169201,6260,1140,-1280,,,,,,,,,,12/5/19,2018-11,11/8/18
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,1,1,1,Microlensing,2019,KMTNet,Published Confirmed,0,<a refstr=YANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...98Y/abstract target=ref>Yang et al. 2020</a>,,,,,3.5,1.1,-0.9,0,,,,,,,,,700,600,-350,0,2.2,1.9,-1.1,0,Mass,,,,,,,,,,,,,0,<a refstr=YANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...98Y/abstract target=ref>Yang et al. 2020</a>,,,,,,,,,,0.49,0.38,-0.25,0,,,,,,,,,,<a refstr=YANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...98Y/abstract target=ref>Yang et al. 2020</a>,17h53m00.08s,268.250333,-30d02m26.70s,-30.04075,7100,800,-2400,,,,,,,,,,4/2/20,2020-03,3/19/20
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,1,1,1,Microlensing,2018,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,,,,,0.83,0.15,-0.2,0,,,,,,,,,4923,7943,-2730,0,15.49,24.99,-8.58,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,,,,,,,,,,0.073,0.117,-0.04,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>,17h52m26.88s,268.112,-29d23m04.42s,-29.3845615,7010,1010,-1160,,,,,,,,,,12/5/19,2018-11,11/8/18
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed,0,<a refstr=SHIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..269S/abstract target=ref>Shin et al. 2024</a>,,,,,3.58,0.81,-0.81,0,,,,,,,,,301.9369867,130.3096469,-130.3096469,0,0.95,0.41,-0.41,0,Mass,,,,,,,,,,,,,0,<a refstr=SHIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..269S/abstract target=ref>Shin et al. 2024</a>,,,,,,,,,,0.73,0.28,-0.28,0,,,,,,,,,,<a refstr=SHIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..269S/abstract target=ref>Shin et al. 2024</a>,17h36m13.90s,264.0579167,-25d31m29.57s,-25.5248806,3580,1220,-1220,,,,,,,,,,10/11/24,2024-06,10/11/24
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,1,1,1,Microlensing,2020,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,,,,,2.63,0.46,-0.65,0,,,,,,,,,1250,1000,-690,0,3.93,3.16,-2.17,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,,,,,,,,,,0.5,0.4,-0.27,0,,,,,,,,,,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,17h42m51.76s,265.715667,-27d26m08.02s,-27.4355611,6440,1130,-1600,,,,,,,,,,11/5/20,2020-10,11/5/20
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,1,1,1,Microlensing,2020,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,,,,,3.64,1.22,-1.61,0,,,,,,,,,836,375,-391,0,2.63,1.18,-1.23,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,,,,,,,,,,0.64,0.29,-0.3,0,,,,,,,,,,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>,17h44m51.01s,266.212542,-23d12m04.97s,-23.2013806,4880,1650,-2180,,,,,,,,,,11/5/20,2020-10,11/5/20
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,1,1,1,Microlensing,2021,KMTNet,Published Confirmed,0,<a refstr=RYU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...96R/abstract target=ref>Ryu et al. 2021</a>,,,,,0.681,0.102,-0.11,0,,,,,,,,,245.0457018,375.9910055,-127.4491912,0,0.771,1.183,-0.401,0,Mass,,,,,,,,,,,,,0,<a refstr=RYU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...96R/abstract target=ref>Ryu et al. 2021</a>,,,,,,,,,,0.064,0.099,-0.033,0,,,,,,,,,,<a refstr=RYU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...96R/abstract target=ref>Ryu et al. 2021</a>,17h59m17.54s,269.8230833,-26d58m55.20s,-26.982,6421,878,-991,,,,,,,,,,11/18/21,2021-09,11/18/21
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,1,1,1,Microlensing,2018,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...72J/abstract target=ref>Jung et al. 2019</a>,,,,,3.45,0.98,-0.95,0,,,,,,,,,34,15,-12,0,0.11,0.05,-0.04,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...72J/abstract target=ref>Jung et al. 2019</a>,,,,,,,,,,0.76,0.34,-0.27,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...72J/abstract target=ref>Jung et al. 2019</a>,17h58m35.92s,269.6496667,-28d08m01.21s,-28.1336694,4530,1040,-980,,,,,,,,,,12/5/19,2019-02,7/25/19
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,1,1,1,Microlensing,2023,KMTNet,Published Confirmed,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,1.81,0.55,-0.59,0,,,,,,,,,5.59,3.57,-2.83,0,0.01758811,0.01123248,-0.00890418,0,Mass,,,,,,,,,,,,,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,,,,,,0.34,0.22,-0.17,0,,,,,,,,,,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,18h05m32.46s,271.38525,-28d29m25.01s,-28.4902806,5400,1820,-2600,,,,,,,,,,2/17/23,2023-03,2/17/23
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,1,1,1,Microlensing,2022,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.132H/abstract target=ref>Han et al. 2022</a>,,,,,2.34,0.56,-0.74,0,,,,,,,,,1166.430254,689.6876432,-657.9048025,0,3.67,2.17,-2.07,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.132H/abstract target=ref>Han et al. 2022</a>,,,,,,,,,,0.63,0.37,-0.35,0,,,,,,,,,,<a refstr=HAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.132H/abstract target=ref>Han et al. 2022</a>,17h39m01.69s,264.7570417,-33d48m28.9s,-33.8080278,5080,1220,-1590,,,,,,,,,,12/17/22,2022-10,12/17/22
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed,0,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,,,,,2.73,0.68,-0.62,0,,,,,,,,,6.39,7.8,-3.09,0,0.02010519,0.02454154,-0.00972223,0,Mass,,,,,,,,,,,,,0,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,,,,,,,,,,0.19,0.23,-0.09,0,,,,,,,,,,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,17h41m26.27s,265.3594583,-25d16m52.39s,-25.2812194,7220,820,-990,,,,,,,,,,5/13/25,2024-08,5/13/25
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,1,1,1,Microlensing,2023,KMTNet,Published Confirmed,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,1.38,0.39,-0.32,0,,,,,,,,,5.19,5.39,-2.8,0,0.01632957,0.01695884,-0.00880979,0,Mass,,,,,,,,,,,,,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,,,,,,0.32,0.31,-0.17,0,,,,,,,,,,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,17h41m38.76s,265.4115,-24d22m26.18s,-24.3739389,7090,610,-700,,,,,,,,,,2/17/23,2023-03,2/17/23
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,1,1,1,Microlensing,2019,KMTNet,Published Confirmed,0,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,,,,,1.8,0.6,-0.5,0,,,,,,,,,640,640,-350,0,2,2,-1.1,0,Mass,,,,,,,,,,,,,0,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,,,,,,,,,,0.37,0.36,-0.2,0,,,,,,,,,,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,17h44m41.02s,266.170917,-25d08m34.91s,-25.1430306,6000,1300,-1700,,,,,,,,,,12/5/19,2019-04,3/14/19
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed,0,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,,,,,2.36,0.69,-0.62,0,,,,,,,,,23.5,15,-12,0,0.07393927,0.04719528,-0.03775622,0,Mass,,,,,,,,,,,,,0,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,,,,,,,,,,0.57,0.37,-0.29,0,,,,,,,,,,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,17h41m56.64s,265.486,-22d20m06.40s,-22.3351111,6500,810,-1620,,,,,,,,,,5/13/25,2024-08,5/13/25
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,1,1,1,Microlensing,2019,KMTNet,Published Confirmed,0,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,,,,,1.6,0.6,-0.6,0,,,,,,,,,230,250,-130,0,0.71,0.8,-0.42,0,Mass,,,,,,,,,,,,,0,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,,,,,,,,,,0.33,0.36,-0.2,0,,,,,,,,,,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,17h56m25.40s,269.105833,-33d08m32.89s,-33.1424694,6500,1400,-2000,,,,,,,,,,12/5/19,2019-04,3/14/19
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,1,1,1,Microlensing,2023,KMTNet,Published Confirmed,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,1.78,0.45,-0.46,0,,,,,,,,,3.54,1.95,-1.63,0,0.01113809,0.00613539,-0.00512855,0,Mass,,,,,,,,,,,,,0,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,,,,,,,,,,0.41,0.23,-0.19,0,,,,,,,,,,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>,18h17m17.31s,274.322125,-25d19m26.18s,-25.3239389,4240,2160,-1710,,,,,,,,,,2/17/23,2023-03,2/17/23
KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,1,1,1,Microlensing,2025,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>,,,,,15.91,2.08,-2.68,0,,,,,,,,,2809.603118,2634.797494,-1560.537478,0,8.84,8.29,-4.91,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>,,,,,,,,,,0.36,0.34,-0.2,0,,,,,,,,,,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>,17h30m26.72s,262.6113333,-30d09m33.52s,-30.1593111,7800,1020,-1310,,,,,,,,,,6/2/25,2025-06,6/2/25
KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,1,1,1,Microlensing,2024,KMTNet,Published Confirmed,0,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,,,,,2.14,0.48,-0.42,0,,,,,,,,,171,137,-88,0,0.53802617,0.43105021,-0.27687896,0,Mass,,,,,,,,,,,,,0,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,,,,,,,,,,0.4,0.32,-0.21,0,,,,,,,,,,<a refstr=GUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...49G/abstract target=ref>Gui et al. 2024</a>,17h37m37.73s,264.4072083,-29d27m40.36s,-29.4612111,8030,840,-1050,,,,,,,,,,5/13/25,2024-08,5/13/25
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,1,1,1,Microlensing,2021,KMTNet,Published Confirmed,0,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..21H/abstract target=ref>Han et al. 2021</a>,,,,,2.14,0.27,-0.39,0,,,,,,,,,664.2613706,533.9517238,-400.4637928,0,2.09,1.68,-1.26,0,Mass,,,,,,,,,,,,,0,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..21H/abstract target=ref>Han et al. 2021</a>,,,,,,,,,,0.46,0.37,-0.27,0,,,,,,,,,,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..21H/abstract target=ref>Han et al. 2021</a>,17h42m21.57s,265.589875,-26d19m01.74s,-26.31715,7040,890,-1270,,,,,,,,,,3/9/22,2021-11,3/9/22
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,1,1,1,Microlensing,2020,KMTNet,Published Confirmed,0,<a refstr=GOULD_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020JKAS...53....9G/abstract target=ref>Gould et al. 2020</a>,,,,,4.27,0.21,-0.23,0,,,,,,,,,7.59,0.75,-0.69,0,0.0239,0.0024,-0.0022,0,Mass,,,,,,,,,,,,,0,<a refstr=GOULD_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020JKAS...53....9G/abstract target=ref>Gould et al. 2020</a>,,,,,,,,,,1.14,0.1,-0.12,0,,,,,,,,,,<a refstr=GOULD_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020JKAS...53....9G/abstract target=ref>Gould et al. 2020</a>,17h37m52.67s,264.469458,-27d59m04.92s,-27.9847,3380,220,-260,,,,,,,,,,6/24/20,2020-02,6/24/20
KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,1,1,1,Microlensing,2022,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,,,,,4.39,2.18,-2.4,0,,,,,,,,,460.8511902,390.9289406,-279.6889982,0,1.45,1.23,-0.88,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,,,,,,,,,,0.51,0.43,-0.31,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,17h38m04.00s,264.5166667,-28d02m29.85s,-28.041625,6480,1280,-1960,,,,,,,,,,4/10/23,2022-12,4/10/23
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,1,1,1,Microlensing,2022,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,,,,,0.87,0.24,-0.25,0,,,,,,,,,73.10053361,101.7050902,-38.13940884,0,0.23,0.32,-0.12,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,,,,,,,,,,0.1,0.14,-0.05,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,17h37m18.48s,264.327,-27d49m55.42s,-27.8320611,7020,1030,-1150,,,,,,,,,,4/10/23,2022-12,4/10/23
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,1,1,1,Microlensing,2022,KMTNet,Published Confirmed,0,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,,,,,2.46,0.51,-0.58,0,,,,,,,,,670.6179388,664.2613706,-330.5415433,0,2.11,2.09,-1.04,0,Mass,,,,,,,,,,,,,0,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,,,,,,,,,,0.29,0.28,-0.14,0,,,,,,,,,,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>,17h38m14.41s,264.5600417,-27d09m01.48s,-27.1504111,6760,990,-1240,,,,,,,,,,4/10/23,2022-12,4/10/23
