,BJD,mag,orb_phase,flux,norm_flux
85,2457598.433,7.6654,0.00309622524923725,2.6317219334057568e-23,0.9764468137454579
86,2457598.434,7.6701,0.0035469647536956472,2.6203542000779462e-23,0.9721790816881394
87,2457598.435,7.6684,0.003997704468247321,2.6244602539754202e-23,0.9736524316989881
88,2457598.436,7.6685,0.00444844418257162,2.6242185433844447e-23,0.9735127295276254
89,2457598.436,7.663,0.00444844418257162,2.6375457408893592e-23,0.978456752369271
90,2457598.437,7.6659,0.004899183687030018,2.6305102596868047e-23,0.9757966384427176
91,2457598.438,7.6676,0.005349923401581691,2.6263947403575578e-23,0.9742199118941477
92,2457598.439,7.6622,0.005800662906040088,2.6394898725675913e-23,0.9790270404766709
93,2457598.44,7.6638,0.006251402620364388,2.635603041172645e-23,0.9775351294584402
94,2457598.441,7.6628,0.006702142334916061,2.6380316395213112e-23,0.9783856202324467
95,2457598.441,7.6633,0.006702142334916061,2.6368170607442545e-23,0.9779351607336639
96,2457598.445,7.6596,0.008505100772708829,2.645818202768219e-23,0.9810718684515127
97,2457598.446,7.6555,0.008955840487260502,2.65582833454667e-23,0.9847330544675277
98,2457598.447,7.6554,0.009406580201584802,2.65607295664108e-23,0.9847731762217673
99,2457598.447,7.6535,0.009406580201584802,2.660725059798814e-23,0.9864980032417852
100,2457598.448,7.6518,0.0098573197060432,2.664894374199711e-23,0.9879930876876967
101,2457598.449,7.6509,0.010308059420594873,2.667104302593602e-23,0.9887616256290973
102,2457598.451,7.6462,0.011209538639604943,2.678674849227503e-23,0.9929491303510164
103,2457598.452,7.644,0.011660278353929243,2.684108083545245e-23,0.9949120707099679
104,2457598.453,7.6422,0.012111018068253543,2.6885616530534014e-23,0.9965116980799792
105,2457598.454,7.6404,0.012561757572939314,2.693022612085678e-23,0.9981138999983291
106,2457598.455,7.6394,0.013012497287263614,2.695504120175631e-23,0.9989823319331442
107,2457598.456,7.6404,0.01346323679172201,2.693022612085678e-23,0.9980114228725461
108,2457598.456,7.6416,0.01346323679172201,2.6900478177342064e-23,0.996908989224146
109,2457598.457,7.6366,0.013913976506273684,2.702464514299715e-23,1.0014591017429386
110,2457598.46,7.6379,0.015266195439608055,2.699230670355688e-23,1.000106713323833
111,2457598.461,7.6368,0.015716935153932354,2.7019667477867116e-23,1.0010690926014907
112,2457598.461,7.6377,0.015716935153932354,2.69972793281818e-23,1.0002396195996908
113,2457598.462,7.6354,0.016167674658618125,2.7054530396780344e-23,1.002309310656414
114,2457598.463,7.636,0.016618414372942425,2.703958364108835e-23,1.001704160032714
115,2457598.464,7.6379,0.017069154087266725,2.699230670355688e-23,0.9999014341456645
116,2457598.465,7.6387,0.017519893591952496,2.697242536244005e-23,0.9991136820857514
117,2457598.466,7.6403,0.017970633306276795,2.693270660057414e-23,0.9975912299927225
118,2457598.468,7.6368,0.018872112525286866,2.7019667477867116e-23,1.0007095821748238
119,2457598.469,7.6381,0.019322852239611166,2.6987334994838913e-23,0.999460829218778
120,2457598.469,7.6376,0.019322852239611166,2.69997659840122e-23,0.9999212039371234
121,2457598.47,7.6365,0.01977359195416284,2.702713431942832e-23,1.0008834284203534
122,2457598.471,7.6388,0.020224331458621236,2.6969941224657994e-23,0.9987141903132596
123,2457598.472,7.6386,0.020675071172945536,2.6974909729030185e-23,0.998846940459246
124,2457598.472,7.6395,0.020675071172945536,2.695255866504111e-23,0.9980193087041908
125,2457598.473,7.6378,0.02112581088749721,2.6994792901370537e-23,0.9995319200354881
126,2457598.474,7.638,0.021576550391955607,2.698982073472018e-23,0.9992965618752168
127,2457598.475,7.6399,0.02202729010650728,2.694263080436482e-23,0.997498197721258
128,2457598.477,7.6332,0.022928769325289977,2.710940588980406e-23,1.0035697821142873
129,2457598.478,7.6374,0.02337950903984165,2.7004739982813915e-23,0.9996438672378166
130,2457598.479,7.6368,0.023830248544300048,2.7019667477867116e-23,1.000145158615991
131,2457598.48,7.6352,0.024280988258624348,2.705951448448889e-23,1.0015687582137254
